alphas,gammas,2014v2:ESP_Jake:Potts_Point,2014v2:ESP_Jake:Basin_Point,2014v2:ESP_Jake:Head_Beach,2014v2:ESP_Don:York_River,2014v2:ESP_Don:Ogunquit,2014v2:ESP_Dennis:Christmas_Cove,2017:ESP3_Roman:Cutler_Harbor,2017:ESP3_Roman:Lubec_Channel,2017:ESP3_Roman:Gove_Point,2017:ESP3_Roman:Gleason_Cove,2019:ESP_Roman:Lubec_Channel,2019:ESP_Roman:Gove_Point,2019:ESP_Roman:Gleason_Cove,,method1_mean,method2_mean,method3_cumu
0.044,0.1,103.3251420100652,100.4422916822315,91.79867457798485,198.4589436243471,166.34778847812325,54.62682798592923,174.1843039894514,130.05960505987883,162.9272398027753,70.3105555359648,140.61610870476096,130.76913614064338,156.55838662331803,,,129.26346186272878,135.98591251008148
0.045,0.1,106.81304987855599,103.94060191059809,95.25485765208855,204.3347940029652,172.01352556225055,56.52450082892839,178.89664191841527,134.7406397421081,167.64212357944453,74.65799265209597,146.18854036195978,135.9597462993001,161.8620319594958,,,133.75608048832356,140.57820584419173
0.046,0.1,110.30758272186723,107.44503721121941,98.72067507360593,210.2113030155468,177.68076119634853,58.4256494446531,183.6095171257748,139.4244909761978,172.3574404624844,79.04851086505828,151.76783845239993,141.18684928148284,167.1893971144089,,,138.25961945700368,145.18460458974204
0.047,0.1,113.80813027261368,110.95501721746145,102.19514663760334,216.08841692758833,183.3493564222107,60.32994524292395,188.3228892745465,144.11088413409172,177.07315585206695,83.47531269306198,157.35327258538143,146.44653753420215,172.53828495254157,,,142.7727961343303,149.80380754748234
0.048,0.1,117.3141541118495,114.470031880654,105.67741875253184,221.96608769036285,189.01918891935307,62.237099337241354,193.03672196332084,148.79957904485383,181.78923873574124,87.9329184350441,162.9442117646625,151.73542253192886,177.9067542020582,,,147.29452518227708,154.43466578427908
0.049,0.1,120.82517751873281,117.98963124110807,109.16674493974172,227.84427220884396,194.69015059110598,64.14685678759199,197.7509822581273,153.49036477258187,186.50566123554708,92.41687084013488,168.54010813852943,157.05055458543188,183.2930843117679,,,151.8238814945573,159.07616141463893
0.05,0.1,124.34077697405527,121.5134169163691,112.6624697754457,233.72293171981897,200.362145558514,66.05899180623908,202.46564028951258,158.18305531311873,191.22239822200586,96.92351336666782,174.14048381852342,162.3893564544877,188.6957457702541,,,156.36007122961632,163.7273897650181
,,,,,,,,,,,,,,,,,,
best,rms,25.00914452506623,23.094827666313982,25.44183869011219,12.903499606381619,15.356289749705798,12.845598132623048,11.778393088800653,17.616939628813373,9.782789390735921,28.35832415899908,25.933598372409765,53.42125897001145,55.96477210135786,,24.42363646779469,35.73705794779262,41.13373817638015
best,alpha,0.016,0.017,0.019,0.01,0.015,0.017,0.007,0.017,0.01,0.03,0.02,0.023,0.018,,0.016846153846153848,0.016,0.017
best,gamma,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1
